seisme 2
CCA1PN 0 1304200007 5.886                   0.066
DYA0PN 0 1304200007 5.536                   0.035
JSA0PG 0 130420000656.932                   0.041
MFF0PG 0 130420000631.832      54.253 S0    0.101     0.517
MFF0PN 0 130420000628.794                   0.050
PY26PG 0 130420000637.207      63.961 S0    0.061     0.251
PY33PG 0 130420000629.305                   0.026
PY34PG 0 130420000643.494      74.092 S0    0.041     0.081
PY34PN 0 130420000637.047                   0.075
PY42PG 0 130420000618.299      31.790 S0    0.022     0.204
PY46PG 0 130420000632.940      54.974 S0    0.093     0.364
PY47PG 0 130420000639.768                   0.070
PY47PN 0 130420000634.867                   0.112
PY49PG 0 130420000652.648      89.425 S0    0.046     0.051
PY49PN 0 130420000644.198                   0.170
PY91PG 0 130420000646.660                   0.128
PY94PG 0 130420000630.673      51.850 S0    0.041     0.032
PY94PN 0 130420000627.481                   0.100
PY95PN 0 130420000642.782                   0.013
PY97PG 0 130420000623.654      39.364 S0    0.013     0.113
PY97PN 0 130420000622.149                   0.008
ROT2PG 0 130420000642.498                   0.125
ROT2PN 0 130420000636.375                   0.065
