seisme 6
CHIFPG 0 130825210642.099      59.437 S0    0.012     0.165
HMNXPG 0 130825210741.462                   0.039
JSA0PG 0 1308252107 4.239      37.475 S0    0.057     0.128
PY42PG 0 130825210631.014      40.995 S0    0.031     0.332
PY46PG 0 130825210642.626      60.838 S0    0.005     0.106
PY47PG 0 130825210651.980      76.701 S0    0.043     0.081
PY48PG 0 130825210659.923                   0.069
PY49PN 0 130825210656.876                   0.077
PY4APG 0 130825210636.206      50.502 S0    0.024     0.060
PY91PG 0 130825210656.357                   0.148
PY92PG 0 130825210650.920      75.270 S0    0.061     0.138
PY94PG 0 130825210636.763      51.112 S0    0.023     0.229
PY95PG 0 130825210657.481                   0.098
PY95PN 0 130825210652.001                   0.062
PY97PG 0 130825210629.557      38.735 S0    0.028     0.151
ROSFPG 0 130825210650.650      74.882 S0    0.105     0.366
